Source IP, Source Port, Destination IP, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, SYN Flag Count, ACK Flag Count, Label
192.168.10.3, 49201, 192.168.10.50, 80, 6, 12000, 10, 8, 1024, 2048, 1, 1, BENIGN
185.120.45.62, 54932, 192.168.10.50, 22, 6, 45000, 14, 12, 4096, 4096, 0, 1, BENIGN
192.168.10.15, 59123, 103.220.101.5, 443, 6, 5000, 5, 4, 512, 1024, 1, 1, BENIGN
172.16.0.1, 41005, 192.168.10.50, 80, 6, 2500, 1, 0, 0, 0, 1, 0, PortScan
172.16.0.1, 41006, 192.168.10.50, 443, 6, 3100, 1, 0, 0, 0, 1, 0, PortScan
172.16.0.1, 41007, 192.168.10.50, 22, 6, 1900, 1, 0, 0, 0, 1, 0, PortScan
172.16.0.1, 41008, 192.168.10.50, 21, 6, 2200, 1, 0, 0, 0, 1, 0, PortScan
10.0.0.15, 60124, 104.244.42.1, 443, 17, 300, 2, 2, 64, 128, 0, 0, BENIGN
172.16.0.1, 80, 192.168.10.50, 50001, 6, 99000, 600, 0, 1200000, 0, 600, 0, DDoS
172.16.0.1, 80, 192.168.10.50, 50002, 6, 95000, 550, 0, 1100000, 0, 550, 0, DDoS
