srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,spkts,dpkts,attack_cat,label
10.40.85.1, 1024, 172.16.1.4, 80, TCP, CON, 0.12, 512, 1024, 8, 10, Normal, 0
10.40.85.2, 53213, 8.8.8.8, 53, UDP, INT, 0.003, 64, 128, 2, 2, Normal, 0
175.45.176.0, 10432, 10.40.85.3, 80, TCP, CON, 1.45, 12050, 48020, 24, 30, Exploits, 1
175.45.176.1, 59124, 10.40.85.3, 21, TCP, CON, 4.22, 512, 512, 5, 5, DoS, 1
175.45.176.2, 60432, 10.40.85.3, 0, ICMP, INT, 0.05, 128, 0, 4, 0, Reconnaissance, 1
10.40.85.1, 2341, 192.168.1.1, 80, TCP, CON, 0.08, 2048, 4096, 6, 8, Normal, 0
175.45.176.3, 44321, 10.40.85.3, 3389, TCP, CON, 0.95, 34000, 12500, 15, 12, Fuzzers, 1
10.40.85.4, 55212, 1.1.1.1, 80, TCP, CON, 0.22, 1024, 2048, 5, 6, Normal, 0
175.45.176.0, 23115, 10.40.85.3, 80, TCP, CON, 0.88, 18500, 24000, 18, 15, Exploits, 1
10.40.85.1, 51253, 10.40.85.10, 8080, TCP, CON, 0.15, 800, 1200, 4, 4, Normal, 0
