,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.020663744520976832,0.11320754716981132,0.03494837172359015,583.0
2,0.6176470588235294,0.11812179016874541,0.19831656743995074,4089.0
3,0.6298330404217927,0.7726374416097737,0.6939648216879135,11132.0
4,0.29317688660290925,0.6017815902342462,0.394271818427452,6062.0
5,0.9982559407019839,0.9705897938636002,0.9842284854509793,18871.0
6,0.9674884010802576,0.7552162162162163,0.8482741871831456,37000.0
7,0.9341317365269461,0.8032036613272311,0.8637342356198093,3496.0
8,0.34099616858237547,0.7063492063492064,0.4599483204134367,378.0
9,0.4117647058823529,0.1590909090909091,0.22950819672131148,44.0
accuracy,0.7547369188164991,0.7547369188164991,0.7547369188164991,0.7547369188164991
macro avg,0.5213957683143124,0.5000198156029739,0.47071950046675887,82332.0
weighted avg,0.8426133572096537,0.7547369188164991,0.778672665446419,82332.0
